"spp","ID","Nucleotide_diversity","TajimasD","D_pvalue","R2","R2_pvalue","Latitude","Longitude","sp_name_std_v1","Article_ID","Study_ID","Type","Param","Trend","SHIFT","UNIT","DUR","v.lat.mean","v.ele.mean","trend.mean","START","END","Sampling","Uncertainty_Distribution","Uncertainty_Parameter","Nperiodes","N","Grain_size","Data","ID.area","group","Hemisphere","SHIFT_abs","velocity","vel_sign","Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Extent","NtempUnits","LogNtempUnits","Grain","ContinuousGrain","Quality","PrAb","StartF","ExtentF","AreaF","NtaxaF","obs_ID","Kingdom","Phylum","Class","Order","Family","Genus","Group","ECO","centroid.x","centroid.y","max_lat.x","max_lat.y","min_lat.x","min_lat.y","shift_sign","shift_vel_sign","lag","lag2","lag3","overlap_SA","dist_cent","dist_N","dist_S","dist_edge"
"Abax parallelus","A34_P1",0.000984223476624692,-1.60957110667632,0.107491520128621,0.078789020495034,0.0261044176706827,48.44,11.68,"Abax parallelus","A34","P1","ELE","LE","103",0.985645933014354,"m/year",104.5,0.122997677,2.83193216,0.015395825,1903,2006.5,"TWO","OPPORTUNISTIC","no",2,654,"small","occurrence-based",-4.9140771206328,"other.animal","N",0.985645933014354,2.83193216,"pos","A34_P1","Bassler_al_2013_PLoSONE","10.1371/journal.pone.0065842",13.46224,48.91963,59.85,10.33,747.67,622.19,1369.86,1113.49,747.67,2,0.693147180559945,"small",1,"RAW","occurrence","[1.8e+03,1.94e+03]","[33.8,880]","[1.54e-05,4.85]","(277,1.33e+03]","S25341","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Abax","Insect","T",13.46224319,48.9196343,13.4108323721163,48.9722603325484,13.5192182217436,48.8743775607759,"pos","pospos",1.84628622698565,1.84628622698565,1.84628622698565,0,141663.320600606,140466.107483019,143847.973788684,163975.91739966
"Abies balsamea","A40_P1",0.000764201140237021,-4.73141740751241,2.22957531001761e-06,0.0753675799587829,0,46.1,-89.09,"Abies balsamea","A40","P1","LAT","O","26.3",2.63,"km/year",30,2.05583316908916,NA,0.0273192263947127,1985,2014,"TWO","PROCESSED","yes",2,86,"large","abundance-based",5.77643785930427,"vascular.plant","N",2.63,2.05583316908916,"pos","A40_P1","Fei_al_2017_ScAdv","10.1126/sciadv.1603055",-84.86443,38.71829,3101496.03,2669.06,2668.91,0,2668.91,1200.68,2669.06,2,0.693147180559945,"very_large",4,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(1.75e+03,4.09e+03]","(62.4,1.23e+04]","[1,99]","S26540","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-84.86443479,38.71828968,-94.5795944562191,48.7197200216617,-81.057817829729,25.1374317668626,"pos","pospos",-0.57416683091084,-0.57416683091084,0,1,890354.732587461,506239.723897159,2433928.84468096,1088985.35057177
"Abies balsamea","A85_P1",0.000764201140237021,-4.73141740751241,2.22957531001761e-06,0.0753675799587829,0,46.1,-89.09,"Abies balsamea","A85","P1","LAT","LE","0.1052",0.487974583333333,"km/year",24,1.946532694,NA,0.025593471,1974,1997,"TWO","PROCESSED","yes",2,11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.487974583333333,1.946532694,"pos","A85_P1","Boisvert-Marsh_al_2014_Ecosphere","10.1890/ES14-00111.1",-71.65457,49.59775,810518.94,883.97,1543.79,0,1543.79,145,883.97,2,0.693147180559945,"small",1,"RESURVEYED","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","[1,99]","S29397","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,"pos","pospos",1.45855811066667,1.45855811066667,1.45855811066667,0,1358071.33418543,506239.723897159,2433928.84468096,1410941.00410018
"Abies balsamea","A85_P1",0.000764201140237021,-4.73141740751241,2.22957531001761e-06,0.0753675799587829,0,46.1,-89.09,"Abies balsamea","A85","P1","LAT","O","0.0383",0.177656145833333,"km/year",24,1.946532694,NA,0.025593471,1974,1997,"TWO","PROCESSED","yes",2,11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.177656145833333,1.946532694,"pos","A85_P1","Boisvert-Marsh_al_2014_Ecosphere","10.1890/ES14-00111.1",-71.65457,49.59775,810518.94,883.97,1543.79,0,1543.79,145,883.97,2,0.693147180559945,"small",1,"RESURVEYED","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","[1,99]","S29402","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,"pos","pospos",1.76887654816667,1.76887654816667,1.76887654816667,0,1358071.33418543,506239.723897159,2433928.84468096,1410941.00410018
"Abies balsamea","A85_P2",0.000764201140237021,-4.73141740751241,2.22957531001761e-06,0.0753675799587829,0,46.1,-89.09,"Abies balsamea","A85","P2","LAT","O","-0.055",-0.255119791666667,"km/year",24,1.946532694,NA,0.025593471,1974,1997,"TWO","PROCESSED","yes",2,11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.255119791666667,1.946532694,"pos","A85_P2","Boisvert-Marsh_al_2014_Ecosphere","10.1890/ES14-00111.1",-71.65457,49.59775,810518.94,883.97,1543.79,0,1543.79,145,883.97,2,0.693147180559945,"small",1,"RESURVEYED","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","[1,99]","S29422","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,"neg","negpos",2.20165248566667,1.946532694,0,0,1358071.33418543,506239.723897159,2433928.84468096,1410941.00410018
"Abies balsamea","A85_P2",0.000764201140237021,-4.73141740751241,2.22957531001761e-06,0.0753675799587829,0,46.1,-89.09,"Abies balsamea","A85","P2","LAT","LE","-0.1759",-0.815919479166667,"km/year",24,1.946532694,NA,0.025593471,1974,1997,"TWO","PROCESSED","yes",2,11,"small","occurrence-based",4.61353542957076,"vascular.plant","N",0.815919479166667,1.946532694,"pos","A85_P2","Boisvert-Marsh_al_2014_Ecosphere","10.1890/ES14-00111.1",-71.65457,49.59775,810518.94,883.97,1543.79,0,1543.79,145,883.97,2,0.693147180559945,"small",1,"RESURVEYED","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","(62.4,1.23e+04]","[1,99]","S29428","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.65457407,49.5977532,-75.2698617411264,53.3838734734821,-74.6644103092883,44.9896447519038,"neg","negpos",2.76245217316667,1.946532694,0,0,1358071.33418543,506239.723897159,2433928.84468096,1410941.00410018
"Abies balsamea","A89_P1",0.000764201140237021,-4.73141740751241,2.22957531001761e-06,0.0753675799587829,0,46.1,-89.09,"Abies balsamea","A89","P1","ELE","O","11",0.255813953488372,"m/year",43,-13.24512691,7.768644114,0.035694993,1970,2012,"TWO","PROCESSED","no",2,58,"small","abundance-based",-4.93523338444085,"vascular.plant","N",0.255813953488372,7.768644114,"pos","A89_P1","Savage_Vellend_2014_Ecography","10.1111/ecog.01131",-71.15733,45.45911,62.49,10.01,703.46,370.02,1073.49,372.23,703.46,2,0.693147180559945,"small",1,"RESURVEYED","abundance","(1.94e+03,1.97e+03]","[33.8,880]","[1.54e-05,4.85]","[1,99]","S29642","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",-71.15732689,45.45910932,-71.1636762482602,45.507266147115,-71.1493162389532,45.4147614560764,"pos","pospos",7.51283016051163,7.51283016051163,7.51283016051163,0,1393485.95068143,506239.723897159,2433928.84468096,1403087.49851991
"Abraxas grossulariata","A129_P2",0.0113981762917933,-1.92452112723149,0.0542892951229542,0.294243395158374,0.966326530612245,59.82,23.02,"Abraxas grossulariata","A129","P2","LAT","LE","-11",-0.523809523809524,"km/year",21,0.315374023,NA,0.017764722,1970.5,1990.5,"TWO","PROCESSED","no",2,1573,"large","occurrence-based",3.44492549907367,"other.animal","N",0.523809523809524,0.315374023,"pos","A129_P2","Mason_al_2015_BJLS","10.1111/bij.12574",-2.67353,54.05248,228277.63,879.94,1749,0,1749,153.28,879.94,2,0.693147180559945,"large",3,"BALANCED","occurrence","(1.94e+03,1.97e+03]","[33.8,880]","(4.85,31.3]","(1.33e+03,4.43e+03]","S4813","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Insect","T",-2.67355566,54.05248587,-3.37493794173258,58.6671319633695,-5.23062578305343,49.9531228302545,"neg","negpos",0.839183546809524,0.315374023,0,0,1677362.37701981,1501718.78456386,2095583.3864418,1704235.62311397
"Abraxas sylvata","A129_P2",0.00183008480880821,-3.97955613183953,6.90440571653683e-05,0.237421598848514,0.971717171717172,47.93,12.94,"Abraxas sylvata","A129","P2","LAT","LE","44",2.0952380952381,"km/year",21,0.315374023,NA,0.017764722,1970.5,1990.5,"TWO","PROCESSED","no",2,1573,"large","occurrence-based",3.44492549907367,"other.animal","N",2.0952380952381,0.315374023,"pos","A129_P2","Mason_al_2015_BJLS","10.1111/bij.12574",-2.67353,54.05248,228277.63,879.94,1749,0,1749,153.28,879.94,2,0.693147180559945,"large",3,"BALANCED","occurrence","(1.94e+03,1.97e+03]","[33.8,880]","(4.85,31.3]","(1.33e+03,4.43e+03]","S5185","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Insect","T",-2.67355566,54.05248587,-3.37493794173258,58.6671319633695,-5.23062578305343,49.9531228302545,"pos","pospos",-1.7798640722381,-1.7798640722381,0,0,1286385.46791327,1607417.29548674,1346534.78720119,1318060.87529122
"Abraxas sylvata","A129_P3",0.00183008480880821,-3.97955613183953,6.90440571653683e-05,0.237421598848514,0.971717171717172,47.93,12.94,"Abraxas sylvata","A129","P3","LAT","LE","-10",-0.625,"km/year",16,0.541506868,NA,0.038157475,1990.5,2005.5,"TWO","PROCESSED","no",2,1573,"large","occurrence-based",3.44492549907367,"other.animal","N",0.625,0.541506868,"pos","A129_P3","Mason_al_2015_BJLS","10.1111/bij.12574",-2.67353,54.05248,228277.63,879.94,1749,0,1749,153.28,879.94,2,0.693147180559945,"large",3,"BALANCED","occurrence","(1.99e+03,2.01e+03]","[33.8,880]","(4.85,31.3]","(1.33e+03,4.43e+03]","S6376","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Insect","T",-2.67355566,54.05248587,-3.37493794173258,58.6671319633695,-5.23062578305343,49.9531228302545,"neg","negpos",1.166506868,0.541506868,0,0,1286385.46791327,1607417.29548674,1346534.78720119,1318060.87529122
